,Player,height,position,team,mins,Personal Fouls Per 40,pfp40_percentile,Personal Fouls Drawn per 40,pfdp40_percentile
3,Caleb Fuller,77,G,ucdavis,661.95,3.62565,0.28,6.34489,0.99
4,Christian Anigwe,81,F,ucdavis,537.8,6.1733,0.13,4.68576,0.83
5,Ade Adebayo,76,G,ucdavis,442.7300000000001,4.42708,0.11,1.44558,0.14
6,Aaron Murphy,78,F,ucdavis,262.2,6.71243,0.09,3.96644,0.7
7,Caleb McGill,79,F,ucdavis,173.21000000000004,3.92587,0.54,2.54027,0.31
8,Cameron Ba,75,G,ucdavis,164.71,2.18566,0.81,1.45711,0.14
9,Leo DeBruhl,74,G,ucdavis,148.77000000000004,5.10856,0.05,2.41984,0.43
10,Francesco Borra,83,F,ucdavis,127.79000000000002,8.76438,0.02,1.25205,0.05
0,Collin Welp,81,F,ucirvine,665.75,1.62223,0.99,3.90537,0.68
1,Justin Hohn,73,G,ucirvine,547.06,2.55913,0.67,1.82795,0.24
2,JC Butler,77,F,ucirvine,530.98,3.23929,0.73,2.3353,0.26
3,Austin Johnson,81,F,ucirvine,510.63000000000005,5.01341,0.28,3.29005,0.51
4,DJ Davis,72,G,ucirvine,504.39,4.04449,0.17,3.56867,0.76
5,Dawson Baker,75,G,ucirvine,487.77,2.29616,0.77,4.34631,0.89
6,Isaiah Lee,74,G,ucirvine,431.32,3.15311,0.43,1.57656,0.17
7,Ofure Ujadughele,75,G,ucirvine,294.63,5.97359,0.02,3.93714,0.83
8,Emmanuel Tshimanga,83,C,ucirvine,262.23,7.77943,0.08,3.35583,0.39
9,Langston Redfield,75,G,ucirvine,180.32,1.99645,0.87,1.33097,0.11
10,Bent Leuchten,84,C,ucirvine,157.38,4.57491,0.63,7.11653,0.97
11,Andre Henry,76,G,ucirvine,111.34,2.87408,0.54,4.67038,0.92
0,Zyon Pullin,76,G,ucriverside,933.86,1.84182,0.91,5.73962,0.98
1,Flynn Cameron,77,G,ucriverside,871.6099999999999,3.30423,0.37,2.61585,0.49
2,Dominick Pickett,75,G,ucriverside,852.24,2.6753,0.63,1.64273,0.19
3,Callum McRae,85,C,ucriverside,849.55,2.40127,0.98,3.71962,0.51
4,Wil Tattersall,79,G,ucriverside,747.89,3.36948,0.35,1.44406,0.14
5,J.P. Moorman II,79,F,ucriverside,332.71000000000004,3.36629,0.69,3.36629,0.53
6,Daniel Mading,81,F,ucriverside,302.97,4.62092,0.36,2.24445,0.24
7,Jhaylon Martinez,83,C,ucriverside,280.39000000000004,6.99026,0.16,2.85317,0.27
8,Dragan Elkaz,77,G,ucriverside,233.99,3.07705,0.46,1.70947,0.21
9,Quinton Ford,75,G,ucriverside,220.8,3.62319,0.28,1.81159,0.23
0,Ajay Mitchell,76,G,ucsb,864.65,3.65466,0.27,5.41259,0.97
1,Amadou Sow,81,F,ucsb,830.97,3.32142,0.7,3.99533,0.7
2,Miles Norris,82,F,ucsb,821.05,2.43591,0.91,2.09488,0.2
3,Calvin Wishart,74,G,ucsb,716.99,3.34733,0.36,4.12837,0.86
4,Josh Pierre-Louis,75,G,ucsb,657.35,3.16422,0.42,4.32038,0.88
5,Ajare Sanni,75,G,ucsb,583.02,2.81294,0.56,3.2932,0.7
6,Robinson Idehen,82,F,ucsb,403.29,5.75268,0.17,5.55432,0.92
7,Sekou Touré,77,G,ucsb,304.30999999999995,4.86346,0.07,2.76034,0.54
8,Cole Anderson,76,G,ucsb,284.41,3.09412,0.45,1.96899,0.28
9,Jay Nagle,80,F,ucsb,162.3,1.7252,0.98,0.73937,0.02
0,Jake Killingsworth,77,G,ucsd,858.9199999999998,1.90937,0.9,0.69855,0.02
1,Jace Roquemore,77,G,ucsd,837.85,1.43224,0.97,2.24384,0.37
2,Bryce Pope,75,G,ucsd,781.8399999999999,1.89297,0.9,3.5813,0.77
3,Francis Nwaokorie,79,F,ucsd,700.28,5.36928,0.22,5.02656,0.88
4,Toni Rocak,80,F,ucsd,697.9300000000002,4.92886,0.3,9.2846,1.0
5,Jake Kosakowski,78,F,ucsd,466.25999999999993,2.83104,0.83,0.85789,0.02
6,Kaden Rasheed,73,G,ucsd,347.37,3.10908,0.44,1.49696,0.15
7,Vuk Vulikic,77,G,ucsd,255.37,1.87963,0.9,1.72299,0.21
8,Matt Gray,80,F,ucsd,178.16,3.36776,0.69,2.24517,0.24
9,"Michael Pearson, Jr.",69,G,ucsd,169.24,3.07256,0.46,1.65446,0.19
10,Justin DeGraaf,79,F,ucsd,92.38,4.32994,0.43,4.32994,0.77
